3-4-0-1-0,,,,,,
,3162,33.45913,4-5-0-2-0,NH4 * 1;H * 2,935.1516,3
,3162,33.45913,4-6-1-1-0,H * 3,935.1516,3
,3570,37.5893,4-5-0-2-0,NH4 * 1;Na * 1;H * 1,942.4832,3
,3570,37.5893,4-6-1-1-0,Na * 1;H * 2,942.4832,3
5-8-0-0-0,,,,,,
,2261,27.75079,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5108,3
,2261,27.75079,4-5-1-2-0,H * 3,987.5108,3
,2278,27.84996,5-8-0-0-0,NH4 * 1;Na * 2,994.8398,3
,2278,27.84996,4-5-1-2-0,Na * 1;H * 2,994.8398,3
,2278,27.84996,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5122,3
,2278,27.84996,4-5-1-2-0,H * 3,987.5122,3
,2295,27.94596,5-8-0-0-0,NH4 * 1;Na * 2,994.8378,3
,2295,27.94596,4-5-1-2-0,Na * 1;H * 2,994.8378,3
,2295,27.94596,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.511,3
,2295,27.94596,4-5-1-2-0,H * 3,987.511,3
,2312,28.0438,5-8-0-0-0,NH4 * 1;Na * 1,1480.762,2
,2312,28.0438,4-5-1-2-0,H * 2,1480.762,2
,2312,28.0438,5-8-0-0-0,NH4 * 1;Na * 2,994.838,3
,2312,28.0438,4-5-1-2-0,Na * 1;H * 2,994.838,3
,2312,28.0438,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5109,3
,2312,28.0438,4-5-1-2-0,H * 3,987.5109,3
,2329,28.13946,5-8-0-0-0,NH4 * 1;Na * 2,994.8381,3
,2329,28.13946,4-5-1-2-0,Na * 1;H * 2,994.8381,3
,2329,28.13946,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5111,3
,2329,28.13946,4-5-1-2-0,H * 3,987.5111,3
,2346,28.2328,5-8-0-0-0,NH4 * 1;Na * 1,1480.763,2
,2346,28.2328,4-5-1-2-0,H * 2,1480.763,2
,2346,28.2328,5-8-0-0-0,NH4 * 1;Na * 2,994.8384,3
,2346,28.2328,4-5-1-2-0,Na * 1;H * 2,994.8384,3
,2346,28.2328,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5115,3
,2346,28.2328,4-5-1-2-0,H * 3,987.5115,3
,2363,28.3298,5-8-0-0-0,NH4 * 1;Na * 1,1480.762,2
,2363,28.3298,4-5-1-2-0,H * 2,1480.762,2
